,stcode,설립유형,총_대기율,staff_score,capacity_score,safety_score,service_score,affordability_score,final_score,기관명,주소_정제,위도,경도
1651,11410000006,국공립,73,0.356,0.1556666666666666,0.7315,0.25,0.182,0.3350333333333333,신촌어린이집,서울특별시 서대문구 신촌로3나길 15-1,37.5589871,126.9306165
1652,11410000007,국공립,44,0.3102499999999999,0.1143333333333333,0.4509999999999999,0.2865,0.36,0.3044166666666666,푸른누리어린이집,서울특별시 서대문구 연희로20길 27,37.5692658,126.934769
1653,11410000008,국공립,95,0.349,0.1263333333333333,0.514,0.0395,0.536,0.3129666666666667,선화어린이집,서울특별시 서대문구 경기대로 26-26,37.5613001,126.962259
1654,11410000009,국공립,28,0.4135,0.1186666666666666,0.5660000000000001,0.05025,0.375,0.3046833333333333,우리어린이집,서울특별시 서대문구 간호대로4길 10 우리어린이집,37.59730649999999,126.947909
1655,11410000010,국공립,60,0.46575,0.1516666666666666,0.7,0.3615,0.512,0.4381833333333332,가좌제일어린이집,서울특별시 서대문구 수색로8길 46,37.5765091,126.9073393
1656,11410000011,국공립,53,0.248,0.1173333333333333,0.6375,0.02075,0.301,0.2649166666666666,금화어린이집,서울특별시 서대문구 독립문로10길 15,37.5681463,126.961072
1657,11410000012,국공립,50,0.35575,0.109,0.503,0.2301666666666666,0.504,0.3403833333333333,은화어린이집,"서울특별시 서대문구 간호대로 48 선강빌딩 2, 3층",37.5975736,126.946935
1658,11410000013,국공립,82,0.4135,0.1313333333333333,0.5345,0.21025,0.259,0.3097166666666666,홍은어린이집,서울특별시 서대문구 모래내로 332-10 구립 홍은어린이집,37.5795791,126.9339414
1659,11410000014,국공립,135,0.41325,0.176,0.7315,0.16775,0.861,0.4699,홍제어린이집,서울특별시 서대문구 통일로31길 3-4,37.5839588,126.9486527
1660,11410000015,국공립,164,0.547,0.1396666666666667,0.5660000000000001,0.35925,0.728,0.4679833333333333,서대문어린이집,서울특별시 서대문구 증가로29길 30-42,37.5825183,126.9102805
1661,11410000016,국공립,88,0.368,0.171,0.669,0.19275,0.422,0.36455,환희어린이집,서울특별시 서대문구 증가로10길 16-9,37.5782287,126.9238479
1662,11410000017,국공립,54,0.26675,0.1013333333333333,0.5660000000000001,0.125,0.608,0.3334166666666666,연희어린이집,서울특별시 서대문구 가좌로 16-16,37.5770941,126.934283
